거래처,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
비엘티(구.에스앤케이),잔액,8778836.0,4314882.0,3409230.0,4126749.0,3051290.0,11073964.0,4157703.0,4090009,0.0,0.0,0.0,0.0
삼보동양,이월,6468000.0,5669950.0,5269990.0,5415520.0,5908650.0,5588000.0,4825810.0,4930310,0.0,0.0,0.0,0.0
삼보동양,매출,2777720.0,2492270.0,2923250.0,2985400.0,2602600.0,2223210.0,2707100.0,1590930,0.0,0.0,0.0,0.0
삼보동양,수금,3575770.0,2892230.0,2777720.0,2492270.0,2923250.0,2985400.0,2602600.0,0,0.0,0.0,0.0,0.0
삼보동양,잔액,5669950.0,5269990.0,5415520.0,5908650.0,5588000.0,4825810.0,4930310.0,6521240,0.0,0.0,0.0,0.0
삼성가스,이월,4796801.0,3888720.0,5429638.0,3848386.0,5683894.0,4441635.0,5677855.0,11409127,0.0,0.0,0.0,0.0
삼성가스,매출,3888720.0,5429639.0,3848386.0,5683894.0,4441635.0,5677855.0,11409127.0,5242824,0.0,0.0,0.0,0.0
삼성가스,수금,4796801.0,3888720.0,5429638.0,3848386.0,5683894.0,4441635.0,5677855.0,11409127,0.0,0.0,0.0,0.0
삼성가스,잔액,3888720.0,5429638.0,3848386.0,5683894.0,4441635.0,5677855.0,11409127.0,5242824,0.0,0.0,0.0,0.0
삼정가스공업,이월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19246920,0.0,0.0,0.0,0.0
삼정가스공업,매출,0.0,0.0,0.0,0.0,0.0,0.0,19246920.0,19410160,0.0,0.0,0.0,0.0
삼정가스공업,수금,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
삼정가스공업,잔액,0.0,0.0,0.0,0.0,0.0,0.0,19246920.0,38657080,0.0,0.0,0.0,0.0
삼정특수가스,이월,,0.0,0.0,0.0,0.0,0.0,1137400.0,0,0.0,0.0,0.0,0.0
삼정특수가스,매출,0.0,0.0,0.0,0.0,0.0,1137400.0,0.0,0,0.0,0.0,0.0,0.0
삼정특수가스,수금,0.0,0.0,0.0,0.0,0.0,0.0,1137400.0,0,0.0,0.0,0.0,0.0
삼정특수가스,잔액,0.0,0.0,0.0,0.0,0.0,1137400.0,0.0,0,0.0,0.0,0.0,0.0
서부모터펌프,이월,,70400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
서부모터펌프,매출,70400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
서부모터펌프,수금,0.0,70400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
서부모터펌프,잔액,70400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
서울특수가스,이월,31190523.0,11190523.0,11190523.0,11190523.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0
서울특수가스,매출,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0
서울특수가스,수금,20000000.0,0.0,0.0,11190523.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
서울특수가스,잔액,11190523.0,11190523.0,11190523.0,-1.0,-1.0,-1.0,0.0,0,0.0,0.0,0.0,0.0
서원플랜트(태성이엔지),이월,2319310.0,2319310.0,2319310.0,2319310.0,2319310.0,2319310.0,2319310.0,2319310,0.0,0.0,0.0,0.0
서원플랜트(태성이엔지),매출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
