영업담당자,거래처,매출일,품목명,입고량,출고량,단가,매출액
담당자없음,Z가스코아산(파라텍3),08/03,"N2 (LGC, 175L)",2,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),08/03,"N2 (LGC, 175L, 고압용)",0,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),08/07,Ar (일반),0,1,"15,000","15,000"
담당자없음,Z가스코아산(파라텍3),08/07,"Ar (일반, 10.2L)",0,4,"5,250","21,000"
담당자없음,Z가스코아산(파라텍3),08/07,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),08/07,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),08/07,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/09,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/11,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),08/11,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/11,"N2 (LGC, 175L, 고압용)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),08/18,"N2 (LGC, 175L)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),08/18,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/21,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),08/21,"N2 (LGC, 175L)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/21,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/22,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍3),08/24,Ar (일반),2,2,"15,000","30,000"
담당자없음,Z가스코아산(파라텍3),08/24,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),08/24,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/24,"N2 (LGC, 175L, 고압용)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/28,"N2 (LGC, 175L)",3,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),08/30,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),08/30,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/31,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),08/31,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),08/31,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),09/04,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),09/04,"N2 (LGC, 175L)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),09/04,"N2 (LGC, 175L, 고압용)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),09/05,기화기 (20Nm3/Hr),6,0,0,0
담당자없음,Z가스코아산(파라텍3),09/05,Ar (일반),17,0,"15,000",0
담당자없음,Z가스코아산(파라텍3),09/05,"Ar (일반, 10.2L)",3,0,"5,250",0
담당자없음,Z가스코아산(파라텍3),09/05,"Ar (LGC, 175L)",6,0,"144,900",0
담당자없음,Z가스코아산(파라텍3),09/05,C2H2 (3kg),1,0,"50,000",0
담당자없음,Z가스코아산(파라텍3),09/05,"N2 (공업용, 40L)",6,0,"4,830",0
담당자없음,Z가스코아산(파라텍3),09/05,"N2 (LGC, 175L)",8,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),09/05,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),09/05,"O2 (공업용, 40L)",2,0,"4,830",0
담당자없음,Z가스코아산(파라텍3),09/20,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍3),10/20,입금 (가스매출),0,0,0,0
